filename,tau,min_dim
1ES1959+650_lc_liner.csv,10,4
1ES2322-409_lc_liner.csv,11,4
1ES2344+514_lc_liner.csv,3,4
3c273_lc_liner.csv,8,5
3c279_lc_liner.csv,3,6
3c345_lc_liner.csv,3,5
3c446_lc_liner.csv,8,5
3c454.3_lc_liner.csv,8,4
3c66a_lc_liner.csv,2,4
4c+01.02_lc_liner.csv,24,4
4c+01.28_lc_liner.csv,7,4
4c+14.23_lc_liner.csv,5,4
4c+21.35_lc_liner.csv,13,8
4c+28.07_lc_liner.csv,16,4
4c+31.03_lc_liner.csv,7,5
4c+38.41_lc_liner.csv,18,4
4c+40.25_lc_liner.csv,6,3
4c+71.07_lc_liner.csv,4,4
aplibrae_lc_liner.csv,2,4
b2_0619+33_lc_liner.csv,14,10
b2_1215+30_lc_liner.csv,1,4
b2_1504+37_lc_liner.csv,3,4
b2_1520+31_lc_liner.csv,36,4
b2_1732+38A_lc_liner.csv,8,5
b2_1846+32B_lc_liner.csv,34,4
b2_1846+32a_lc_liner.csv,11,5
b2_2308+34_lc_liner.csv,15,6
b3_0650+453_lc_liner.csv,6,4
b3_1343+451_lc_liner.csv,14,4
b3_1708+433_lc_liner.csv,6,8
bl_lac_lc_liner.csv,9,4
cta102_lc_liner.csv,10,5
gb1310+487_lc_liner.csv,2,3
gb6_j0742+5444_lc_liner.csv,15,10
h1426+428_lc_liner.csv,10,4
mg1_j021114+1051_lc_liner.csv,3,4
mg1_j123931+0443_lc_liner.csv,12,6
mg2_j071354+1934_lc_liner.csv,10,3
mkn421_lc_liner.csv,6,4
mkn501_lc_liner.csv,1,4
mrc_1036-529_lc_liner.csv,11,4
nrao676_lc_liner.csv,4,5
nvss_J090442_lc_liner.csv,55,3
og050_lc_liner.csv,4,5
oj248_lc_liner.csv,11,3
oj287_lc_liner.csv,4,5
ok630_lc_liner.csv,4,4
on246_lc_liner.csv,8,4
op313_lc_liner.csv,6,4
oq334_lc_liner.csv,15,4
ot081_lc_liner.csv,3,4
ox169_lc_liner.csv,2,4
pg1553+113_lc_liner.csv,1,4
pks0035-252_lc_liner.csv,8,4
pks0130-17_lc_liner.csv,3,4
pks0131-522_lc_liner.csv,2,4
pks0208-512_lc_liner.csv,29,5
pks0226-559_lc_liner.csv,10,3
pks0235+164_lc_liner.csv,11,5
pks0235-618_lc_liner.csv,4,3
pks0244-470_lc_liner.csv,5,5
pks0250-225_lc_liner.csv,7,5
pks0301-243_lc_liner.csv,2,4
pks0336-01_lc_liner.csv,4,4
pks0346-27_lc_liner.csv,27,3
pks0402-362_lc_liner.csv,4,5
pks0403-13_lc_liner.csv,24,5
pks0426-380_lc_liner.csv,15,4
pks0438-43_lc_liner.csv,5,4
pks0440-00_lc_liner.csv,7,4
pks0454-234_lc_liner.csv,8,4
pks0502+049_lc_liner.csv,5,5
pks0507+17_lc_liner.csv,3,3
pks0514-459_lc_liner.csv,11,4
pks0528+134_lc_liner.csv,4,4
pks0537-286_lc_liner.csv,7,5
pks0537-441_lc_liner.csv,82,7
pks0727-11_lc_liner.csv,34,4
pks0736+01_lc_liner.csv,8,4
pks0805-07_lc_liner.csv,5,8
pks0903-57_lc_liner.csv,2,5
pks0906+01_lc_liner.csv,19,6
pks0920-39_lc_liner.csv,16,5
pks1004-217_lc_liner.csv,20,5
pks1244-255_lc_liner.csv,3,5
pks1313-333_lc_liner.csv,8,4
pks1329-049_lc_liner.csv,4,4
pks1346-112_lc_liner.csv,9,3
pks1424-41_lc_liner.csv,19,4
pks1451-375_lc_liner.csv,9,5
pks1454-354_lc_liner.csv,21,4
pks1502+106_lc_liner.csv,28,4
pks1510-089_lc_liner.csv,5,5
pks1510-324_lc_liner.csv,44,3
pks1622-253_lc_liner.csv,12,6
pks1730-13_lc_liner.csv,5,4
pks1824-582_lc_liner.csv,5,7
pks1830-211_lc_liner.csv,20,6
pks1954-388_lc_liner.csv,5,4
pks2023-07_lc_liner.csv,5,5
pks2032+107_lc_liner.csv,11,5
pks2123-463_lc_liner.csv,5,4
pks2142-75_lc_liner.csv,4,4
pks2144+092_lc_liner.csv,7,4
pks2149-306_lc_liner.csv,4,4
pks2155-304_lc_liner.csv,2,4
pks2155-83_lc_liner.csv,6,4
pks2233-148_lc_liner.csv,6,5
pks2255-282_lc_liner.csv,8,4
pks2320-035_lc_liner.csv,2,4
pks2326-502_lc_liner.csv,23,6
pks_b1406-076_lc_liner.csv,26,6
pks_b1622-297_lc_liner.csv,7,4
pks_b1908-201_lc_liner.csv,5,4
pks_b2258-022_lc_liner.csv,29,5
pmn_j0017-0512_lc_liner.csv,8,4
pmn_j0531-4827_lc_liner.csv,15,6
pmn_j0852-5755_lc_liner.csv,3,4
pmn_j1717-5155_lc_liner.csv,23,2
pmn_j1913-3630_lc_liner.csv,24,4
pmn_j2141-6411_lc_liner.csv,8,6
pmn_j2250-2806_lc_liner.csv,7,4
pmn_j2345-1555_lc_liner.csv,4,4
s3_0218+35_lc_liner.csv,9,4
s3_0458-02_lc_liner.csv,4,5
s4_0954+65_lc_liner.csv,3,5
s4_1030+61_lc_liner.csv,5,4
s4_1144+40_lc_liner.csv,16,5
s4_1749+70_lc_liner.csv,3,4
s4_1800+44_lc_liner.csv,3,5
s4_1849+67_lc_liner.csv,8,5
s5_0716+71_lc_liner.csv,3,4
s5_1044+71_lc_liner.csv,21,6
s5_1803+784_lc_liner.csv,2,5
s5_2007+77_lc_liner.csv,6,5
sbs1150+497_lc_liner.csv,13,3
ton599_lc_liner.csv,8,4
txs0059+581_lc_liner.csv,12,6
txs0506+056_lc_liner.csv,10,4
txs0646-176_lc_liner.csv,12,6
txs1530-131_lc_liner.csv,5,6
txs1700+685_lc_liner.csv,3,5
txs2241+406_lc_liner.csv,10,5
txs2358+209_lc_liner.csv,3,5
w_comae_lc_liner.csv,3,4
