indicator,missing_rate,mDEratio,mL,mEN,mTT,mLAM
Brownian motion,0.0,20.630260777482736,6.454519532363844,2.521036548342205,8.028967109059435,0.952714176161262
Brownian motion,0.2,20.76539680253393,7.224636924041375,2.6532594795779474,9.053120594643088,0.9618023881166012
Brownian motion,0.5,21.04432945030589,8.59321826416942,2.848769703114151,10.5965938541281,0.9733713321815782
Brownian motion,0.7,21.18176609541939,9.721448087431694,2.991585491510817,11.845712411870798,0.9793149255147549
Brownian motion,0.9,21.27855848267275,11.2125898156826,3.1364022034536974,13.331896946914826,0.9834902470037604
Logistic map,0.0,15.344756766826524,3.0831655255739023,1.4419134211661555,2.7596350265559035,0.1014823717948718
Logistic map,0.2,14.954088460508036,3.05876081518842,1.4228703879772937,3.484261870284277,0.2289696690439939
Logistic map,0.5,14.98415837129471,3.202407986631818,1.4853543158032745,3.995447355222038,0.5186717419613343
Logistic map,0.7,10.86042732209923,4.374746409153615,1.9812078560977384,5.245526097763049,0.6367069258540412
Logistic map,0.9,11.882078703091045,4.769779507133593,2.128369160292595,5.365857418111753,0.7013397803968974
Logistic map + noise,0.0,8.496812697472734,2.315852725882225,0.7250558555471027,2.259535655058043,0.0818777292576419
Logistic map + noise,0.2,9.646449854445503,2.674037446524807,1.0687456331756742,3.868816631130064,0.3634620007211249
Logistic map + noise,0.5,13.643577865364964,3.467193071828833,1.614586146015314,4.548076329278083,0.7376871838533581
Logistic map + noise,0.7,15.592259495508705,3.8456442203104912,1.7942650571522083,4.870024911650542,0.8420043071067261
Logistic map + noise,0.9,12.878342312484405,5.05528313824739,2.2404456785593703,5.439483043983519,0.7767290537346756
Lorenz attractor (x),0.0,19.923174961602903,10.192155181652556,2.842003900308202,10.541521438450898,0.9934098705957184
Lorenz attractor (x),0.2,19.91062492116673,11.596020021975338,2.981081624249489,10.923429882420418,0.9942781368444134
Lorenz attractor (x),0.5,19.95546499359424,13.498857795545405,3.114728749348848,11.217280738068483,0.9951468535871312
Lorenz attractor (x),0.7,19.98011662829284,10.728853943292828,3.039781290507346,11.10893768838039,0.9953483757895084
Lorenz attractor (x),0.9,20.03700415986564,10.172628480869369,3.0041181282936607,10.83937168993741,0.995121277418642
Lorenz attractor (x) + noise,0.0,18.327871023431417,7.231271704977675,2.552031812355657,8.53363271094304,0.9414025426822272
Lorenz attractor (x) + noise,0.2,18.518654127179044,8.105296979711742,2.642931225540588,8.97148485594681,0.9513081623061256
Lorenz attractor (x) + noise,0.5,18.728508388699737,9.114588695562649,2.737131364454459,9.580239772846776,0.9570175438596492
Lorenz attractor (x) + noise,0.7,19.286294025064272,9.29946466809422,2.9155866690360126,10.126718606782768,0.974165105257357
Lorenz attractor (x) + noise,0.9,19.475285987505195,8.925360909183986,2.899413452919653,10.08557736193519,0.977700595093246
Sine wave,0.0,19.86883850106936,109.9855072463768,0.8373062720674382,4.784255711306203,0.999797277435965
Sine wave,0.2,19.97594778498741,66.0822102425876,3.87903885621972,4.802489097946984,0.9991538986921108
Sine wave,0.5,19.959243038981494,32.36802114304592,3.8846981684402784,5.140219272937103,0.9989194038371358
Sine wave,0.7,19.930980721395063,24.88011176022352,3.790596847788165,5.638455123227792,0.9987977707817548
Sine wave,0.9,19.92498278848493,22.91588785046729,3.7866354319438194,6.027393894723911,0.9985042582850864
Sine wave + noise,0.0,9.256139921529664,2.4695529360638817,0.9200869444896138,2.792408759124088,0.5845370276051747
Sine wave + noise,0.2,10.429043783554665,2.669935833898482,1.117417744995668,3.174382298709281,0.6578992958248836
Sine wave + noise,0.5,12.280767230888053,3.1737214791502755,1.4644976778573957,3.8692683947581807,0.7522375005085229
Sine wave + noise,0.7,13.532974052616831,3.447957702674684,1.623022827730193,4.150668671361874,0.8011445212663049
Sine wave + noise,0.9,14.431492109872226,3.81088,1.7936802745940088,4.444989620683148,0.8363837428727959
White noise,0.0,7.686983262175491,2.2619174198121565,0.6442494718897511,2.292583303475457,0.1603434104486588
White noise,0.2,9.204843423040488,2.6071184898794635,1.008293509272658,3.427315469592141,0.4493660101237909
White noise,0.5,12.541383365779526,3.2461290657799022,1.486598323716959,3.997822323971188,0.7176564927579813
White noise,0.7,9.496048487399698,4.23461573114695,1.921863300540963,4.784548541385227,0.6598787439321611
White noise,0.9,10.621537386053015,4.361238245818424,1.9439304216857576,5.033526594403831,0.7056400315017871
