missing_rate,indicator,count
0.0,Lorenz attractor (x) + noise,54
0.0,Lorenz attractor (x),44
0.0,Sine wave + noise,37
0.0,Brownian motion,7
0.0,Sine wave,1
0.0,Logistic map,1
0.0,White noise,1
0.2,Lorenz attractor (x) + noise,54
0.2,Sine wave + noise,35
0.2,Lorenz attractor (x),30
0.2,Brownian motion,9
0.2,White noise,7
0.2,Sine wave,6
0.2,Logistic map,2
0.2,Logistic map + noise,2
0.5,Lorenz attractor (x) + noise,53
0.5,Lorenz attractor (x),21
0.5,White noise,19
0.5,Logistic map + noise,17
0.5,Logistic map,11
0.5,Brownian motion,8
0.5,Sine wave,8
0.5,Sine wave + noise,8
0.7,Lorenz attractor (x) + noise,35
0.7,Logistic map + noise,31
0.7,White noise,23
0.7,Sine wave + noise,17
0.7,Sine wave,13
0.7,Brownian motion,12
0.7,Lorenz attractor (x),9
0.7,Logistic map,5
0.9,Lorenz attractor (x) + noise,41
0.9,White noise,33
0.9,Sine wave + noise,24
0.9,Brownian motion,18
0.9,Logistic map + noise,13
0.9,Sine wave,9
0.9,Logistic map,4
0.9,Lorenz attractor (x),3
