epsilon,TT,L
0.1,2.0,0.0
0.2,2.107142857142857,2.1666666666666665
0.3,2.5986622073578594,2.439252336448598
0.4,2.987468671679198,2.771513353115727
0.5,3.400511836212412,3.0056899004267423
0.6,3.869793772745653,3.2230392156862746
0.7,4.417137756620053,3.488803932277444
0.7999999999999999,5.02416918429003,3.8694074969770256
0.8999999999999999,5.896586753352296,4.434519811954332
0.9999999999999999,6.742148760330578,5.022189349112426
1.0999999999999999,7.634953464322647,5.663833287633672
1.2,8.185807064786948,5.863407620416966
1.3,8.613713610166986,6.0060072945719805
1.4,8.945632675589898,6.137504903883876
1.5,9.560442525634107,6.430119581464873
1.5999999999999999,10.39997287399973,6.95171773444754
1.7,11.256129297356527,7.553035982008995
1.8,12.36843587216669,8.382945736434108
1.9,14.077747584541063,9.600958533027715
2.0,15.777509652509652,10.867637178051512
